District,Year,Lower quintiles HH,Upper quintiles HH,Gini coefficient,Price_imported Maize,Price_imported PB rice,Price_imported FB rice,Price_local Peanut Kernels,Price_local uns. peanut,Price_local Maize,Price_local Millet,Price_local Cowpea,Price_local Sorghum,Producer price_H. rice,Producer price_uns. Peanut,Producer price_Millet,Producer price_Sorghum,Producer price s. peanut,Producer price_Maize,Producer price_Cowpea
SAINT-LOUIS,2019,26.1,12.1,0.14,230.4426,302.5945,401.8229,636.6102,328.0488,241.4056,269.7344,835.4566,282.3642,283.4773,,,,,,433
SAINT-LOUIS,2020,,,,234.8976,315.2123,464.8691,784.3415,381.0758,257.0303,317.8917,731.692,299.7968,287.4016,,,,,,433
SAINT-LOUIS,2021,,,,237.2144,307.0186,490.0938,826.1555,401.2968,260.4891,309.415,654.9962,299.7964,293.53,,,,,,435.3819
SEDHIOU,2015,40.6,3.3,0.36,,,,,,,,,,,,,,,,
SEDHIOU,2016,34.8,1.2,3.2,275,275,384.9849,522.6585,214.4114,211.9766,182.9539,541.8681,216.991,349.9999,209.7467,162.0041,200,446.2866,189.6998,376.0903
SEDHIOU,2017,43,0.6,0.39,273.6256,286.1901,396.1912,527.6562,237.6324,218.1895,207.3876,525.2464,231.3869,349.9999,201.4001,184.771,200,457.0308,194.2584,418.0456
SEDHIOU,2018,45.2,2.2,0.29,261.0677,296.2242,397.1772,486.743,199.4456,205.1137,182.9944,554.8763,236.8753,349.9999,186.4096,157.451,200.6944,411.5093,179.5566,357.6929
SEDHIOU,2019,45.5,6.3,0.33,233.015,303.4798,431.1083,522.6806,214.0857,213.2927,214.0211,733.1771,263.2027,348.8435,195.6239,176.0854,199.0596,422.5507,183.7543,497.9066
SEDHIOU,2020,,,,225,315.3631,448.4819,670.1273,269.2028,244.1056,261.488,652.7459,393.7463,365.0941,249.989,175.3826,199.8987,593.8361,196.7973,505.3683
SEDHIOU,2021,,,,225,314.8684,455.3987,727.5087,306.0201,229.5553,242.02,604.7372,374.8935,364.8923,283.6592,203.1073,200,659.6992,197.7062,516.7729
TAMBACOUNDA,2015,40.6,3.3,0.36,,,,,,,,,,,,,,,,
TAMBACOUNDA,2016,59.8,2.7,4.7,200,264.3293,432.9722,490.5212,226.3363,167.6411,170.9592,479.7051,187.5233,,191.889,130.8175,142.0202,384.0381,121.8175,370.1738
TAMBACOUNDA,2017,48.9,3.2,0.48,200,272.5051,429.3257,499.3016,228.1228,181.3679,201.5911,474.6263,213.4011,,188.4611,159.983,171.0392,399.891,144.8532,373.4536
TAMBACOUNDA,2018,45.2,2.2,0.29,200,279.0984,438.5842,433.5226,197.9251,185.8041,197.4296,466.8418,222.4062,,166.8532,153.9547,186.4165,354.6842,149.4149,366.5212
TAMBACOUNDA,2019,45.5,6.3,0.33,200,300.1532,453.0307,485.7442,213.0782,194.653,206.8772,521.4718,219.7054,,181.9923,162.092,184.8469,402.9724,151.8564,422.7064
TAMBACOUNDA,2020,,,,200,350.8216,480.6159,560.1116,315.204,198.4719,236.4241,533.862,222.124,,229.49,185.4439,186.4511,457.6442,154.6732,404.576
TAMBACOUNDA,2021,,,,201.5625,352.236,494.7593,553.5528,294.3099,204.3889,239.0662,524.7706,231.1262,,249.2835,197.8416,187.623,450.3753,168.0493,421.6099
THIES,2015,2.5,43.2,0.2,,,,,,,,,,,,,,,,
THIES,2016,5.1,17.3,2.8,240.0591,284.4948,374.3968,678.4804,375.572,237.0396,222.3841,417.2547,234.7513,257.085,309.7345,197.268,180.3107,634.9189,209.5656,355.7898
THIES,2017,6.4,15.9,0.31,230.0126,286.9965,392.9764,599.3187,277.7711,229.6749,234.4067,358.2791,236.7288,256.1354,234.8635,207.1629,212.3033,549.7974,211.1838,268.8659
THIES,2018,1.9,45.9,0.38,227.8454,297.8389,399.9023,544.9543,284.7428,220.6264,215.0801,488.2844,236.4587,262.1304,250.8583,181.4189,200.5409,492.8824,211.7218,412.3338
THIES,2019,4.3,39.5,0.34,226.7574,286.9002,400,560.1274,280.1393,216.4629,233.2155,693.903,254.2342,264.8628,291.8801,201.3357,227.8268,498.7773,196.9853,596.5333
THIES,2020,,,,229.5715,293.2946,400.7708,621.9739,333.689,238.7172,268.9151,482.3038,268.6044,277.4475,294.8831,218.4436,237.1409,606.2721,206.9384,337.4496
THIES,2021,,,,240.3614,321.5283,406.8833,704.8204,415.1663,246.4184,275.938,415.2759,262.9907,289.3409,361.32,229.4387,222.3521,674.2556,216.6931,331.267
ZIGUINCHOR,2015,40.6,3.3,0.36,,,,,,,,,,,,,,,,
ZIGUINCHOR,2016,6.5,5.3,3.1,300,276.4283,481.966,635.464,255.056,262.5417,255.9184,606.4082,282.8568,363.6942,300,,271.0047,,250,
ZIGUINCHOR,2017,12.7,6.2,0.35,300,285.7038,436.4537,642.1745,259.2153,271.0359,272.4783,596.1024,295.3299,338.6016,300,,271.0047,,250,
ZIGUINCHOR,2018,45.2,2.2,0.29,300,292.1663,403.9904,623.9294,284.2659,258.3825,255.9172,669.6123,304.9479,323.4437,300,,271.0047,,250,
ZIGUINCHOR,2019,45.5,6.3,0.33,300,302.808,429.8258,669.2708,417.4261,252.474,255.8449,800.531,296.6667,371.2174,300,,271.0247,,250,
ZIGUINCHOR,2020,,,,301.4019,326.8608,448.6454,875.1939,491.8714,279.755,296.8605,725.5545,315.4823,394.086,304.4643,,271.5867,,251.6493,
ZIGUINCHOR,2021,,,,308.6476,326.0417,448.3264,853.6759,529.4362,286.0561,290.8763,651.7199,326.5735,366.5139,394.5437,,279.945,,256.4236,
