District,Year,Peanut (tons),Cowpea (tons),Cassava (tons),Millet (tons),Maize (tons),Sorghum (tons),Rice (tons),Sheeps (number of heads),Chickens (number of heads),Assins (number of heads),Cows (number of heads),Goats (number of heads),Lower quintiles HH (%),Upper quintiles HH (%),Gini coefficient,Price_imported Maize (FCFA/kg),Price_imported PB rice (FCFA/kg),Price_imported FB rice (FCFA/kg),Price_local Peanut Kernels (FCFA/kg),Price_local uns. peanut (FCFA/kg),Price_local Maize (FCFA/kg),Price_local Millet (FCFA/kg),Price_local Cowpea (FCFA/kg),Price_local Sorghum (FCFA/kg),Producer price_H. rice (FCFA/kg),Producer price_uns. Peanut (FCFA/kg),Producer price_Millet (FCFA/kg),Producer price_Sorghum (FCFA/kg),Producer price s. peanut (FCFA/kg),Producer price_Maize (FCFA/kg),Producer price_Cowpea (FCFA/kg),Less -3 ET_Size Age (%),Less -2 ET_Size Age (%),Avg RCS (ET)_Size Age (%),Less -3 ET_Weight Height (%),Less -2 ET_Weight Height (%),Less +2 ET_Weight Height (%),Avg RCS (ET)_Weight Height,Less -3 ET_Weight Age (%),Less -2 ET_Weight Age (%),Less  +2 ET_Weight Age (%),Avg RCS (ET)_Weight Age,Neonatal mortality (%),Post-neonatal mortality (%),Child mortality (%),Juvenile mortality (%),Child-juvenile mortality (%),Electricity (%),Time to get water (min),Wealth factor (%),HH heads w/o formal education (%),Literacy rt of hh heads (%),Female head of hh (%),FEI (%),Insecticide use (%),Irrigation use (%),Husbandry (%),Avg hh size (units),Fertilizer Use (%),Herbicide use (%),SMI,VGI,WDI,Precipitation
KAOLACK,2018,45745.6667,,10251.6667,44333.3333,16927,5608,,150763.3734,347837.044,33820.8711,190263.1992,217339.3772,25.7,7.5,0.27,174.4574,309.6284,400.1736,400.0418,203.5373,164.5947,168.607,427.8899,250.0292,305.6988,196.8688,158.7972,214.4431,370.8697,152.5946,258.4082,5.5,22.6,-1.1,0.9,6.9,1.3,-0.5,2.5,16,0.5,-1,2.8,1.3,4.1,2.2,6.2,11.0231,74.3871,2.9093,71.75,34.44,5.3758,0.4958,14.4406,15.7457,86.53,11.3625,64.8421,15.2894,8.893989037,7.467817752,416.4185883,559
KAOLACK,2019,223001,1541,95440,167275,76912,12777,3325,246078.3289,793636.5611,49619.9172,204470.1204,369684.6045,20.1,9.6,0.2,169.8334,300.726,453.9858,477.9828,243.335,180.6505,197.0372,607.0632,224.0989,333.4401,235.5093,186.735,209.9251,442.0037,170.1308,262.0703,5.7,19.6,-1,0.7,7.2,1.3,-0.6,3.1,14.9,0.4,-1,2.6,1.1,3.7,1.2,4.8,9.508,76.1587,2.84,65.79,49.98,3.9265,0.1822,,4.207,70.156,10.0801,32.1744,10.3642,8.965834153,7.531602995,424.5315823,560
KAOLACK,2020,295037,2517,130403,170355,96943,39733,3042,,,,,,,,,184.4576,313.6893,478.5979,647.9843,309.7067,185.5236,235.7915,523.8335,222.4321,325.9298,275.0149,220.072,195.0446,603.2912,182.4157,429.2898,,,,,,,,,,,,,,,,,,,,67.74,54.01,10.2871,0.204,3.3529,4.4129,74.8169,10.9128,77.4736,,9.241670651,7.587485568,406.5245063,757
KAOLACK,2021,201310,2136,114306,161352,127948,21946,616,,,,,,,,,218.5165,325.1959,469.8592,699.27,310.213,211.486,222.722,516.1015,231.4417,321.5469,287.5369,212.7318,210.3911,658.455,207.8953,463.1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.074301678,8.690048034,,619
KEDOUGOU,2015,,,,,,,,,,,,,40.6,3.3,0.36,,,,,,,,,,,,,,,,,7.6,25.5,-1.2,1.3,7.9,0.8,-0.6,4.2,19.1,0.1,-1.1,3.2,2.4,5.6,3.9,9.3,7.3984,27.6813,2.0898,,,,,,,,,,,9.509993878,8.232162112,384.6211649,1426
KEDOUGOU,2016,9432,,,,2811.6667,1070.3333,4331.6667,,,,,,36.1,1.9,3.1,240.9362,276.1485,427.9926,546.6157,220.2449,268.3337,264.8396,560.0683,287.7253,,245,290.625,275,600.0477,200.0045,512.5,10,26.8,-1.3,0.6,5.9,0.7,-0.5,4.9,19,0.4,-1.1,3.4,3.7,7.1,7.5,14,6.185,,1.9406,,,,,,,,,,,9.533229594,7.846237922,403.890126,1073
KEDOUGOU,2017,4512.3333,196,,,8981,4615,7706.3333,19003.9912,49014.2081,1315.7015,42068.9009,10039.9766,43.9,1.7,0.39,227.7541,286.259,435.058,560.6414,207.6426,255.4196,286.4587,536.4515,294.2292,,245,290.625,275,600.0493,200.0046,512.5,10,28.8,-1.4,1.4,7.5,0.6,-0.5,5.3,21.9,1.2,-1.1,2.5,1.5,4,3.6,7.4,6.6635,27.2969,1.9816,77.3047,38.5928,3.2135,0.8512,25.6661,3.9398,74.5924,5.7109,98.9237,3.249,9.569730614,7.595000884,392.0206381,1116
KEDOUGOU,2018,6840.6667,,,,10407.6667,4126,,12570.6718,24706.6893,,30345.6864,15245.225,45.2,2.2,0.29,237.5014,299.057,427.0438,559.6373,237.8871,248.5314,301.0176,580.9529,299.3657,,245,290.625,275,600.0466,199.9846,512.5,7,23.8,-1.1,1.4,9.3,1.6,-0.6,3.8,18.6,1,-1,3.2,2.4,5.5,3.6,8.9,4.578,46.1707,1.6565,67.22,41.18,10.306,0.57,,5.4376,55.7692,7.3946,37.0177,24.9207,9.384300751,7.305191185,379.6265882,1102
KEDOUGOU,2019,20522,239,,8239,69512,17998,93544,40670.7632,67062.9459,,76631.8585,40691.5154,45.5,6.3,0.33,242.9572,303.6622,436.0693,577.8467,224.1389,228.9884,268.7782,619.9128,276.9045,,245,290.625,275,600.0495,187.4949,512.5,6.4,22.3,-1.1,1.8,10.6,0.9,-0.7,4.3,19,0.3,-1.1,2.5,2,4.5,2.8,7.1,7.0117,36.2212,2.2101,70.17,36.6,11.4959,0.3376,16.5469,,72.0938,9.6937,53.8297,,9.616309715,7.271131344,395.8535021,1117
KEDOUGOU,2020,14007,550,9185,,45521,14117,38279,,,,,,,,,239.4401,323.1961,453.9874,665.665,245.1573,226.8481,298.0788,586.1986,291.1367,,244.5052,291.054,276.36,604.765,184.1959,519.7859,,,,,,,,,,,,,,,,,,,,71.07,40.78,15.2002,0.4468,6.6205,,58.2809,7.7089,40.5025,59.8729,9.555766841,7.559246389,389.4912706,1148
KEDOUGOU,2021,23214,328,1205,305,51295,11315,17830,,,,,,,,,240.5948,327.7276,457.5691,776.5024,277.3403,228.1115,314.2922,649.9258,309.2191,,248.3854,297.9167,294.184,672.0633,206.1367,579.8206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.623699954,6.336895416,446.1208657,1114
KOLDA,2015,,,,,,,,,,,,,40.6,3.3,0.36,,,,,,,,,,,,,,,,,7.6,25.5,-1.2,1.3,7.9,0.8,-0.6,4.2,19.1,0.1,-1.1,3.2,2.4,5.6,3.9,9.3,4.1327,48.695,1.7688,,,,,,,,,,,9.419468403,8.158978891,451.9480617,1036
KOLDA,2016,25599.3333,370.6667,3457,11222.6667,9636.6667,8989,39280.3333,,,,,,59.7,2.1,3.8,225.4852,279.1505,417.8634,590.6272,254.3663,216.4409,228.3195,552.165,227.2044,322.0434,212.4274,192.9581,205.2602,357.8475,196.3957,506.492,8,28.2,-1.3,1.2,8.9,1,-0.6,5,20.4,0.2,-1.2,3.9,2.4,6.3,4.5,10.5,3.5666,,1.66,,,,,,,,,,,9.477607556,8.034234625,480.4008191,930
KOLDA,2017,37762.3333,213,3592,9264.3333,23816.6667,11435.3333,86022,178322.3183,267663.0488,46833.3313,407982.9804,192789.636,66.5,1.7,0.55,248.3536,285.0096,416.667,604.6306,245.5667,230.6771,245.0758,543.6714,255.8721,284.8408,220.4087,199.8916,188.8325,440.6942,195.5811,496.2226,8.9,31.6,-1.4,0.7,5.9,1.3,-0.4,3.3,18.3,0.7,-1.1,2.3,2.2,4.5,4.7,8.9,3.9187,38.2449,1.6986,88.2778,25.4734,12.5985,0.6347,17.007,2.5629,94.9005,12.2672,86.7583,,9.611948477,7.849913388,428.5331067,981
KOLDA,2018,75218,,2196.3333,15910.6667,31894.6667,12530,,199970.9816,335366.0402,44328.6981,376943.9287,202314.5942,45.2,2.2,0.29,233.2165,285.1823,407.4942,503.7114,236.083,221.3709,224.34,595.5195,257.7202,297.0374,242.1372,170.4333,164.5538,399.4957,178.5834,464.7727,7,23.8,-1.1,1.4,9.3,1.6,-0.6,3.8,18.6,1,-1,3.2,2.4,5.5,3.6,8.9,3.7025,59.3341,1.5869,86.91,17.61,5.3753,0.9234,,4.7205,92.8839,11.8518,39.8467,18.1811,9.332469625,7.749838341,408.851368,908
KOLDA,2019,225654,1012,6590,44167,47350,16182,127972,214989.7438,745483.6837,58676.9291,415107.1814,257578.1204,45.5,6.3,0.33,203.1166,302.5811,440.1432,513.9358,253.0691,212.8186,232.4928,765.9524,243.7441,304.6429,273.8055,190.0771,185.8984,348.7557,175.0784,437.5,6.4,22.3,-1.1,1.8,10.6,0.9,-0.7,4.3,19,0.3,-1.1,2.5,2,4.5,2.8,7.1,4.8371,55.7899,1.8023,76.98,26.74,9.8298,0.1142,6.3486,8.0048,73.7814,9.885,13.1643,,9.477614673,7.876833141,438.4098135,906
